"NAME","NATIONALITY"
"dianekruger","List_of_Germans"
"alexandramarialara","List_of_Germans"
"siegfriedlowitz","List_of_Germans"
"heikemakatsch","List_of_Germans"
"hannamaron","List_of_Germans"
"ingemeysel","List_of_Germans"
"brigittemira","List_of_Germans"
"willymillowitsch","List_of_Germans"
"ulrichmühe","List_of_Germans"
"arminmuellerstahl","List_of_Germans"
"luiseneumann","List_of_Germans"
"uweochsenknecht","List_of_Germans"
"christianoliver","List_of_Germans"
"lillipalmer","List_of_Germans"
"frankapotente","List_of_Germans"
"jürgenprochnow","List_of_Germans"
"luiserainer","List_of_Germans"
"heinzrühmann","List_of_Germans"
"ottosander","List_of_Germans"
"claudiaschiffer","List_of_Germans"
"romyschneider","List_of_Germans"
"jessicaschwarz","List_of_Germans"
"tilschweiger","List_of_Germans"
"matthiasschweighöfer","List_of_Germans"
"hannaschygulla","List_of_Germans"
"xeniaseeberg","List_of_Germans"
"kristinasöderbaum","List_of_Germans"
"günterstrack","List_of_Germans"
"barbarasukowa","List_of_Germans"
"horsttappert","List_of_Germans"
"katharinathalbach","List_of_Germans"
"noratschirner","List_of_Germans"
"ulrichtukur","List_of_Germans"
"nadjauhl","List_of_Germans"
"christophwaltz","List_of_Germans"
"fritzwepper","List_of_Germans"
"luisedelzopp","List_of_Germans"
"uweboll","List_of_Germans"
"andreasdeja","List_of_Germans"
"dorisdörrie","List_of_Germans"
"berndeichinger","List_of_Germans"
"rolandemmerich","List_of_Germans"
"harunfarocki","List_of_Germans"
"rainerwernerfassbinder","List_of_Germans"
"florianhenckelvondonnersmarck","List_of_Germans"
"wernerherzog","List_of_Germans"
"oliverhirschbiegel","List_of_Germans"
"alexanderkluge","List_of_Germans"
"carlkoch","List_of_Germans"
"fritzlang","List_of_Germans"
"ernstlubitsch","List_of_Germans"
"f.w.murnau","List_of_Germans"
"wolfgangpetersen","List_of_Germans"
"leniriefenstahl","List_of_Germans"
"helmasandersbrahms","List_of_Germans"
"peterschamoni","List_of_Germans"
"volkerschlöndorff","List_of_Germans"
"andreasschnaas","List_of_Germans"
"hansjürgensyberberg","List_of_Germans"
"tomtykwer","List_of_Germans"
"margarethevontrotta","List_of_Germans"
"robertwiene","List_of_Germans"
"wimwenders","List_of_Germans"
"adamofbremen","List_of_Germans"
"josephvonauffenberg","List_of_Germans"
"heinrichböll","List_of_Germans"
"bertoltbrecht","List_of_Germans"
"clemensbrentano","List_of_Germans"
"georgbüchner","List_of_Germans"
"charlesbukowski","List_of_Germans"
"wilhelmbusch","List_of_Germans"
"annettevondrostehülshoff","List_of_Germans"
"josephvoneichendorff","List_of_Germans"
"theodorfontane","List_of_Germans"
"johannwolfgangvongoethe","List_of_Germans"
"brothersgrimm","List_of_Germans"
"heinrichheine","List_of_Germans"
"johanngottfriedherder","List_of_Germans"
"hermannhesse","List_of_Germans"
"e.t.a.hoffmann","List_of_Germans"
"friedrichhölderlin","List_of_Germans"
"ernstjünger","List_of_Germans"
"erichkästner","List_of_Germans"
"heinrichvonkleist","List_of_Germans"
"gottholdlessing","List_of_Germans"
"heinrichmann","List_of_Germans"
"thomasmann","List_of_Germans"
"karlmay","List_of_Germans"
"theodormommsen","List_of_Germans"
"christianmorgenstern","List_of_Germans"
"novalis","List_of_Germans"
"erichmariaremarque","List_of_Germans"
"rainermariarilke","List_of_Germans"
"friedrichschiller","List_of_Germans"
"arnoschmidt","List_of_Germans"
"theodorstorm","List_of_Germans"
"kurttucholsky","List_of_Germans"
"waltervondervogelweide","List_of_Germans"
"christawolf","List_of_Germans"
"wolframvoneschenbach","List_of_Germans"
"yehudaamichai","List_of_Germans"
"ernstmoritzarndt","List_of_Germans"
"achimvonarnim","List_of_Germans"
"bettinavonarnim","List_of_Germans"
"ezrielcarlebach","List_of_Germans"
"matthiasclaudius","List_of_Germans"
"michaelende","List_of_Germans"
"erikerikson","List_of_Germans"
"annefrank","List_of_Germans"
"paulgerhardt","List_of_Germans"
"leahgoldberg","List_of_Germans"
"josephgörres","List_of_Germans"
"wilhelmhauff","List_of_Germans"
"paulheyse","List_of_Germans"
"janosch","List_of_Germans"
"friedrichkellner","List_of_Germans"
"golomann","List_of_Germans"
"klausmann","List_of_Germans"
"friedrichdelamottefouqué","List_of_Germans"
"princehermannvonpücklermuskau","List_of_Germans"
"otfriedpreussler","List_of_Germans"
"wilhelmraabe","List_of_Germans"
"peterrühmkorf","List_of_Germans"
"nellysachs","List_of_Germans"
"leopoldschefer","List_of_Germans"
"augustwilhelmschlegel","List_of_Germans"
"ludwigtieck","List_of_Germans"
"ludwiguhland","List_of_Germans"
"gerovonwilpert","List_of_Germans"
"hansmagnusenzensberger","List_of_Germans"
"güntergrass","List_of_Germans"
"peterhärtling","List_of_Germans"
"rolfhochhuth","List_of_Germans"
"wladimirkaminer","List_of_Germans"
"danielkehlmann","List_of_Germans"
"siegfriedlenz","List_of_Germans"
"ferdinandvonschirach","List_of_Germans"
"bernhardschlink","List_of_Germans"
"patricksüskind","List_of_Germans"
"rudolfvonwaldenfels","List_of_Germans"
"martinwalser","List_of_Germans"
"dieterhildebrandt","List_of_Germans"
"brunojonas","List_of_Germans"
"michaelmittermeier","List_of_Germans"
"georgschramm","List_of_Germans"
"mathiasrichling","List_of_Germans"
"richardrogler","List_of_Germans"
"danieltosh","List_of_Germans"
"rudolfaugstein","List_of_Germans"
"peterlimbourg","List_of_Germans"
"mariondönhoff","List_of_Germans"
"güntherjauch","List_of_Germans"
"axelspringer","List_of_Germans"
"sabinechristiansen","List_of_Germans"
"maybritillner","List_of_Germans"
"annewill","List_of_Germans"
"sandramaischberger","List_of_Germans"
"wilhelmackermann","List_of_Germans"
"georgcantor","List_of_Germans"
"richarddedekind","List_of_Germans"
"walthervondyck","List_of_Germans"
"alberteinstein","List_of_Germans"
"gottlobfrege","List_of_Germans"
"philippfurtwängler","List_of_Germans"
"carlfriedrichgauss","List_of_Germans"
"ernsthellinger","List_of_Germans"
"davidhilbert","List_of_Germans"
"carlgustavjacobjacobi","List_of_Germans"
"erichkähler","List_of_Germans"
"johanneskepler","List_of_Germans"
"felixchristianklein","List_of_Germans"
"hermannklaushugoweyl","List_of_Germans"
"gottfriedwilhelmleibniz","List_of_Germans"
"kurtmendelssohn","List_of_Germans"
"hermannminkowski","List_of_Germans"
"augustferdinandmöbius","List_of_Germans"
"carlneumann","List_of_Germans"
"emmynoether","List_of_Germans"
"georgohm","List_of_Germans"
"carladampetri","List_of_Germans"
"juliusplücker","List_of_Germans"
"bernhardriemann","List_of_Germans"
"adamries","List_of_Germans"
"gustavroch","List_of_Germans"
"ericreissner","List_of_Germans"
"carldavidtolmérunge","List_of_Germans"
"heinrichscherk","List_of_Germans"
"hermanschwarz","List_of_Germans"
"carlludwigsiegel","List_of_Germans"
"rolandsprague","List_of_Germans"
"heinrichmartinweber","List_of_Germans"
"karlweierstrass","List_of_Germans"
"maxzorn","List_of_Germans"
"heinrichbürkledelacamp","List_of_Germans"
"carlvonclausewitz","List_of_Germans"
"erichvonfalkenhayn","List_of_Germans"
"augustvongneisenau","List_of_Germans"
"heinzguderian","List_of_Germans"
"erichhartmann","List_of_Germans"
"alfredjodl","List_of_Germans"
"günthervonkluge","List_of_Germans"
"erichludendorff","List_of_Germans"
"erichvonmanstein","List_of_Germans"
"helmuthvonmoltketheelder","List_of_Germans"
"friedrichpaulus","List_of_Germans"
"güntherrall","List_of_Germans"
"manfredvonrichthofen","List_of_Germans"
"erwinrommel","List_of_Germans"
"albrechtvonroon","List_of_Germans"
"hansulrichrudel","List_of_Germans"
"gerdvonrundstedt","List_of_Germans"
"alfredvonschlieffen","List_of_Germans"
"gerhardvonscharnhorst","List_of_Germans"
"michaelwittmann","List_of_Germans"
"carlfriedrichabel","List_of_Germans"
"martinagricola","List_of_Germans"
"siegfriedalkan","List_of_Germans"
"carlphilippemanuelbach","List_of_Germans"
"johannchristianbach","List_of_Germans"
"johannsebastianbach","List_of_Germans"
"klausbadelt","List_of_Germans"
"ludwigvanbeethoven","List_of_Germans"
"martinböttcher","List_of_Germans"
"johannesbrahms","List_of_Germans"
"maxbruch","List_of_Germans"
"dieterichbuxtehude","List_of_Germans"
"hannseisler","List_of_Germans"
"friedrichvonflotow","List_of_Germans"
"christophwillibaldgluck","List_of_Germans"
"georgfriedrichhändel","List_of_Germans"
"fannyhensel","List_of_Germans"
"paulhindemith","List_of_Germans"
"engelberthumperdinck","List_of_Germans"
"albertlortzing","List_of_Germans"
"giacomomeyerbeer","List_of_Germans"
"felixmendelssohn","List_of_Germans"
"leopoldmozart","List_of_Germans"
"jacquesoffenbach","List_of_Germans"
"carlorff","List_of_Germans"
"johannpachelbel","List_of_Germans"
"hanspfitzner","List_of_Germans"
"maxreger","List_of_Germans"
"wolfgangrihm","List_of_Germans"
"leopoldschefer","List_of_Germans"
"claraschumann","List_of_Germans"
"robertschumann","List_of_Germans"
"heinrichschütz","List_of_Germans"
"charlotteseither","List_of_Germans"
"karlheinzstockhausen","List_of_Germans"
"richardstrauss","List_of_Germans"
"georgphilipptelemann","List_of_Germans"
"richardwagner","List_of_Germans"
"carlmariavonweber","List_of_Germans"
"kurtweill","List_of_Germans"
"hanszimmer","List_of_Germans"
"hansalbers","List_of_Germans"
"thomasanders","List_of_Germans"
"laleandersen","List_of_Germans"
"loubega","List_of_Germans"
"andreaberg","List_of_Germans"
"wolfbiermann","List_of_Germans"
"dieterbohlen","List_of_Germans"
"andreasbourani","List_of_Germans"
"hansjürgenbuchner","List_of_Germans"
"fritzbusch","List_of_Germans"
"bushido","List_of_Germans"
"campino","List_of_Germans"
"yvonnecatterfeld","List_of_Germans"
"sarahconnor","List_of_Germans"
"michael","List_of_Germans"
"dianadamrau","List_of_Germans"
"marlenedietrich","List_of_Germans"
"herbertdreilich","List_of_Germans"
"jürgendrews","List_of_Germans"
"katjaebstein","List_of_Germans"
"fancy","List_of_Germans"
"frankfarian","List_of_Germans"
"helenefischer","List_of_Germans"
"gertrudeförstel","List_of_Germans"
"peterfox","List_of_Germans"
"wilhelmfurtwängler","List_of_Germans"
"rexgildo","List_of_Germans"
"antyegreie","List_of_Germans"
"herbertgrönemeyer","List_of_Germans"
"gudrungut","List_of_Germans"
"ninahagen","List_of_Germans"
"heino","List_of_Germans"
"willyhess","List_of_Germans"
"nataliehorler","List_of_Germans"
"annettehumpe","List_of_Germans"
"matthiasjabs","List_of_Germans"
"rolandkaiser","List_of_Germans"
"billkaulitz","List_of_Germans"
"johnkay(musician)","List_of_Germans"
"gershonkingsley","List_of_Germans"
"alexanderklaws","List_of_Germans"
"hildegardknef","List_of_Germans"
"peterkraus","List_of_Germans"
"mikekogel","List_of_Germans"
"rolfköhler","List_of_Germans"
"paulkuhn","List_of_Germans"
"lafee","List_of_Germans"
"utelemper","List_of_Germans"
"udolindenberg","List_of_Germans"
"michaillifits","List_of_Germans"
"tilllindemann","List_of_Germans"
"fridalyngstad","List_of_Germans"
"petermaffay","List_of_Germans"
"klausmeine","List_of_Germans"
"reinhardmey","List_of_Germans"
"lenameyerlandrut","List_of_Germans"
"mariusmüllerwesternhagen","List_of_Germans"
"karlmünchinger","List_of_Germans"
"annesophiemutter","List_of_Germans"
"xaviernaidoo","List_of_Germans"
"meshellndegeocello","List_of_Germans"
"nena","List_of_Germans"
"nicole","List_of_Germans"
"klausnomi","List_of_Germans"
"lisaotto","List_of_Germans"
"martinrich","List_of_Germans"
"mariannerosenberg","List_of_Germans"
"annelieserothenberger","List_of_Germans"
"sandra","List_of_Germans"
"koolsavas","List_of_Germans"
"gustavschäfer","List_of_Germans"
"michaelschenker","List_of_Germans"
"rudolfschenker","List_of_Germans"
"peterschilling","List_of_Germans"
"sido","List_of_Germans"
"cassandrasteen","List_of_Germans"
"farinurlaub","List_of_Germans"
"lenavalaitis","List_of_Germans"
"paulvandyk","List_of_Germans"
"hanneswader","List_of_Germans"
"clairewaldoff","List_of_Germans"
"brunowalter","List_of_Germans"
"konstantinwecker","List_of_Germans"
"theodoradorno","List_of_Germans"
"albertusmagnus","List_of_Germans"
"hannaharendt","List_of_Germans"
"walterbenjamin","List_of_Germans"
"ernstbloch","List_of_Germans"
"jakobböhme","List_of_Germans"
"franzbrentano","List_of_Germans"
"rudolfcarnap","List_of_Germans"
"ernstcassirer","List_of_Germans"
"wilhelmdilthey","List_of_Germans"
"ludwigfeuerbach","List_of_Germans"
"johanngottliebfichte","List_of_Germans"
"gottlobfrege","List_of_Germans"
"eduardvonhartmann","List_of_Germans"
"georgwilhelmfriedrichhegel","List_of_Germans"
"martinheidegger","List_of_Germans"
"maxhorkheimer","List_of_Germans"
"edmundhusserl","List_of_Germans"
"karljaspers","List_of_Germans"
"immanuelkant","List_of_Germans"
"gottfriedleibniz","List_of_Germans"
"karlmarx","List_of_Germans"
"mosesmendelssohn","List_of_Germans"
"lorenzchristophmizler","List_of_Germans"
"nikolauscusanus","List_of_Germans"
"friedrichnietzsche","List_of_Germans"
"friedrichschelling","List_of_Germans"
"moritzschlick","List_of_Germans"
"arthurschopenhauer","List_of_Germans"
"christianwolff","List_of_Germans"
"brunobauer","List_of_Germans"
"friedrichengels","List_of_Germans"
"rudolfchristopheucken","List_of_Germans"
"erichfromm","List_of_Germans"
"hansgeorggadamer","List_of_Germans"
"wilhelmvonhumboldt","List_of_Germans"
"ludwigklages","List_of_Germans"
"leolöwenthal","List_of_Germans"
"karllöwith","List_of_Germans"
"herbertmarcuse","List_of_Germans"
"samuelvonpufendorf","List_of_Germans"
"johannkarlfriedrichrosenkranz","List_of_Germans"
"franzrosenzweig","List_of_Germans"
"maxscheler","List_of_Germans"
"carlschmitt","List_of_Germans"
"georgsimmel","List_of_Germans"
"maxstirner","List_of_Germans"
"carlfriedrichvonweizsäcker","List_of_Germans"
"hansalbert","List_of_Germans"
"kurtflasch","List_of_Germans"
"jürgenhabermas","List_of_Germans"
"dieterhenrich","List_of_Germans"
